Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivenTest,Chrome 73.0.3683.103,,2019-04-15 15:50:37,2019-04-15 15:51:10,32.710s,PASSED
,,,,,,
Test Cases/DataDriven_Testcase01,Chrome 73.0.3683.103,,2019-04-15 15:50:37,2019-04-15 15:50:49,11.937s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-15 15:50:38,2019-04-15 15:50:43,5.411s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.103,,2019-04-15 15:50:43,2019-04-15 15:50:46,3.281s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-15 15:50:46,2019-04-15 15:50:48,1.258s,PASSED
"waitForElementVisible(findTestObject(""MakeanOpp123""), 20)",Chrome 73.0.3683.103,,2019-04-15 15:50:48,2019-04-15 15:50:48,0.087s,PASSED
"click(findTestObject(""MakeanOpp123""))",Chrome 73.0.3683.103,,2019-04-15 15:50:48,2019-04-15 15:50:48,0.487s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/username""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:50:48,2019-04-15 15:50:48,0.032s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/username""), Username)",Chrome 73.0.3683.103,,2019-04-15 15:50:48,2019-04-15 15:50:48,0.097s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:50:48,2019-04-15 15:50:48,0.031s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), password)",Chrome 73.0.3683.103,,2019-04-15 15:50:48,2019-04-15 15:50:48,0.127s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Login_btn""))",Chrome 73.0.3683.103,,2019-04-15 15:50:48,2019-04-15 15:50:49,0.639s,PASSED
,,,,,,
Test Cases/DataDriven_Testcase01,Chrome 73.0.3683.103,,2019-04-15 15:50:49,2019-04-15 15:50:59,9.820s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-15 15:50:49,2019-04-15 15:50:53,3.940s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.103,,2019-04-15 15:50:53,2019-04-15 15:50:56,3.168s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-15 15:50:56,2019-04-15 15:50:57,1.129s,PASSED
"waitForElementVisible(findTestObject(""MakeanOpp123""), 20)",Chrome 73.0.3683.103,,2019-04-15 15:50:58,2019-04-15 15:50:58,0.046s,PASSED
"click(findTestObject(""MakeanOpp123""))",Chrome 73.0.3683.103,,2019-04-15 15:50:58,2019-04-15 15:50:58,0.450s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/username""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:50:58,2019-04-15 15:50:58,0.026s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/username""), Username)",Chrome 73.0.3683.103,,2019-04-15 15:50:58,2019-04-15 15:50:58,0.098s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:50:58,2019-04-15 15:50:58,0.032s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), password)",Chrome 73.0.3683.103,,2019-04-15 15:50:58,2019-04-15 15:50:58,0.112s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Login_btn""))",Chrome 73.0.3683.103,,2019-04-15 15:50:58,2019-04-15 15:50:59,0.659s,PASSED
,,,,,,
Test Cases/DataDriven_Testcase01,Chrome 73.0.3683.103,,2019-04-15 15:50:59,2019-04-15 15:51:09,9.744s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-15 15:50:59,2019-04-15 15:51:03,4.185s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.103,,2019-04-15 15:51:03,2019-04-15 15:51:06,3.034s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-15 15:51:06,2019-04-15 15:51:07,1.128s,PASSED
"waitForElementVisible(findTestObject(""MakeanOpp123""), 20)",Chrome 73.0.3683.103,,2019-04-15 15:51:07,2019-04-15 15:51:07,0.056s,PASSED
"click(findTestObject(""MakeanOpp123""))",Chrome 73.0.3683.103,,2019-04-15 15:51:07,2019-04-15 15:51:08,0.459s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/username""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:51:08,2019-04-15 15:51:08,0.030s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/username""), Username)",Chrome 73.0.3683.103,,2019-04-15 15:51:08,2019-04-15 15:51:08,0.075s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:51:08,2019-04-15 15:51:08,0.025s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), password)",Chrome 73.0.3683.103,,2019-04-15 15:51:08,2019-04-15 15:51:08,0.089s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Login_btn""))",Chrome 73.0.3683.103,,2019-04-15 15:51:08,2019-04-15 15:51:09,0.640s,PASSED
